Date,Open,High,Low,Close,Volume,Ticker,Company_Name,Segment,Exchange,Currency,Daily_Return_Pct,Price_Range,Year,Month,Month_Name,Weekday,Rolling_Volatility_30d
2026-07-02 00:00:00+05:30,273.5,273.5,257.70001220703125,260.25,26105222,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-4.19657432454369,15.79998779296875,2026,7,Jul,Thursday,1.8599379447146962
2026-07-03 00:00:00+05:30,258.25,258.25,250.0,252.1999969482422,39345727,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-3.0931808075918554,8.25,2026,7,Jul,Friday,1.9388292999127812
2026-07-06 00:00:00+05:30,252.8999938964844,253.5,249.5,249.9499969482422,12248902,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.8921490988208713,4.0,2026,7,Jul,Monday,1.945194181522231
2026-07-07 00:00:00+05:30,251.1499938964844,251.8500061035156,246.3500061035156,247.8500061035156,12317114,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.8401643810227566,5.5,2026,7,Jul,Tuesday,1.9423912782056307
2026-07-08 00:00:00+05:30,244.9499969482422,246.0,239.0,240.4499969482422,17045169,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-2.985680441009453,7.0,2026,7,Jul,Wednesday,1.9429670915323682
2026-07-09 00:00:00+05:30,240.6499938964844,246.1999969482422,240.1499938964844,244.6000061035156,10797792,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.725934376354643,6.050003051757784,2026,7,Jul,Thursday,1.9760910660618995
2026-07-10 00:00:00+05:30,245.5,254.3500061035156,245.3500061035156,250.9499969482422,18239487,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,2.596071417119772,9.0,2026,7,Jul,Friday,2.0409084493183545
2026-07-13 00:00:00+05:30,249.0,252.6999969482422,247.0,250.6499938964844,18662940,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.11954694377608321,5.6999969482421875,2026,7,Jul,Monday,2.0356563426993115
2026-07-14 00:00:00+05:30,249.8000030517578,251.1499938964844,245.6999969482422,246.6000061035156,9026197,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.6157940919964253,5.449996948242216,2026,7,Jul,Tuesday,2.0374106355345756
2026-07-15 00:00:00+05:30,248.0,250.3999938964844,246.9499969482422,248.1499938964844,8127491,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.6285432905943189,3.449996948242216,2026,7,Jul,Wednesday,2.0383487905091937
2026-07-16 00:00:00+05:30,249.1999969482422,249.6000061035156,247.0500030517578,248.3000030517578,5277402,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.060451000992567394,2.550003051757784,2026,7,Jul,Thursday,2.0249738232922905
2026-07-17 00:00:00+05:30,249.0,249.0,245.6000061035156,246.8000030517578,6785854,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.6041079265260096,3.3999938964844034,2026,7,Jul,Friday,2.0167530388470034
2026-07-20 00:00:00+05:30,247.5,256.1499938964844,246.0500030517578,254.8500061035156,15040259,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,3.2617516013845327,10.099990844726562,2026,7,Jul,Monday,2.111512737223362
2026-07-21 00:00:00+05:30,254.8500061035156,257.0,247.3000030517578,247.6999969482422,13458334,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-2.8055754302666935,9.699996948242188,2026,7,Jul,Tuesday,2.150152977068408
2026-07-22 00:00:00+05:30,247.9499969482422,247.9499969482422,244.3999938964844,245.75,8257873,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.7872414098776259,3.550003051757784,2026,7,Jul,Wednesday,1.8606538994118675
2026-07-23 00:00:00+05:30,245.0,246.0,242.25,243.1499938964844,6041550,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.0579882415119424,3.75,2026,7,Jul,Thursday,1.8500097713899206
2026-07-24 00:00:00+05:30,242.0,247.1000061035156,239.25,246.4499969482422,8475748,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.3571882108138977,7.850006103515597,2026,7,Jul,Friday,1.8740605343122176
2026-07-27 00:00:00+05:30,243.5,247.6999969482422,241.8999938964844,244.0,14707217,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.9941152276649157,5.800003051757784,2026,7,Jul,Monday,1.7943177591514579
2026-07-28 00:00:00+05:30,242.8000030517578,244.6999969482422,238.4499969482422,239.1999969482422,8526492,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.9672143654745122,6.25,2026,7,Jul,Tuesday,1.8095946533715292
2026-07-29 00:00:00+05:30,239.8999938964844,244.8999938964844,239.3500061035156,243.3500061035156,10011406,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.7349536823662248,5.549987792968807,2026,7,Jul,Wednesday,1.8533290461111565
2026-07-30 00:00:00+05:30,243.0,243.0,240.1000061035156,241.6499938964844,9423237,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.6985872876074772,2.8999938964844034,2026,7,Jul,Thursday,1.7792005334830998
2026-07-31 00:00:00+05:30,243.0,244.5,242.1000061035156,242.6000061035156,7775343,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.3931356221917204,2.3999938964844034,2026,7,Jul,Friday,1.7789417927897075
2026-08-03 00:00:00+05:30,244.0500030517578,248.47999572753903,244.0,247.25,8511143,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.9167328027602348,4.479995727539034,2026,8,Aug,Monday,1.8320518745038226
2026-08-04 00:00:00+05:30,247.19000244140625,249.1499938964844,245.0,245.0,4143561,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.9100101112234582,4.149993896484403,2026,8,Aug,Tuesday,1.7864781468400501
2026-08-05 00:00:00+05:30,247.5,249.83999633789065,245.6000061035156,245.6000061035156,9244171,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.24490045041452024,4.239990234375057,2026,8,Aug,Wednesday,1.7329985543212192
2026-08-06 00:00:00+05:30,246.1100006103516,251.0,245.6000061035156,251.0,9633422,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,2.1986945286183834,5.399993896484403,2026,8,Aug,Thursday,1.7852760703973416
2026-08-07 00:00:00+05:30,249.9900054931641,251.25,248.0200042724609,250.6999969482422,7479873,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.11952312819036859,3.229995727539091,2026,8,Aug,Friday,1.7857087233537867
2026-08-10 00:00:00+05:30,250.1100006103516,250.97999572753903,246.1699981689453,247.80999755859372,6890654,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.152772008308045,4.809997558593722,2026,8,Aug,Monday,1.7553284159131728
2026-08-11 00:00:00+05:30,247.0,247.47000122070312,243.6000061035156,246.1999969482422,13598893,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.6496915484496824,3.8699951171875284,2026,8,Aug,Tuesday,1.7561680324595583
2026-08-12 00:00:00+05:30,246.0,251.3999938964844,245.5,251.0,8298917,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.9496357072526393,5.899993896484403,2026,8,Aug,Wednesday,1.8045044111486583
2026-08-13 00:00:00+05:30,250.9900054931641,250.9900054931641,247.63999938964844,248.0,3547993,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.195219123505975,3.3500061035156534,2026,8,Aug,Thursday,1.6550127187693051
2026-08-14 00:00:00+05:30,248.0,250.7899932861328,247.5,248.22000122070312,7812221,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.08871016963836187,3.2899932861328125,2026,8,Aug,Friday,1.5588820567779418
2026-08-17 00:00:00+05:30,247.6000061035156,248.1100006103516,243.1100006103516,246.5500030517578,7061942,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.672789525716122,5.0,2026,8,Aug,Monday,1.5552637087525383
2026-08-18 00:00:00+05:30,245.4199981689453,247.27999877929688,243.8999938964844,244.0,3521816,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.0342741919262877,3.3800048828124716,2026,8,Aug,Tuesday,1.5591322877032088
2026-08-19 00:00:00+05:30,244.07000732421875,245.5500030517578,243.1499938964844,245.0,6256020,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.4098360655737654,2.400009155273409,2026,8,Aug,Wednesday,1.457914812388877
2026-08-20 00:00:00+05:30,246.5,247.1499938964844,244.25,244.5,5598278,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.20408163265306367,2.8999938964844034,2026,8,Aug,Thursday,1.4246518173355405
2026-08-21 00:00:00+05:30,244.0,247.0,243.5,247.0,7918075,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.0224948875255713,3.5,2026,8,Aug,Friday,1.3532740093065865
2026-08-24 00:00:00+05:30,245.5500030517578,246.1199951171875,239.8999938964844,241.5,15274497,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-2.2267206477732837,6.220001220703097,2026,8,Aug,Monday,1.4107898317464331
2026-08-25 00:00:00+05:30,241.5,242.8999938964844,239.8999938964844,241.0,11320890,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.20703933747412417,3.0,2026,8,Aug,Tuesday,1.3822450922514247
2026-08-26 00:00:00+05:30,242.0,245.58999633789065,242.0,242.5,4759203,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.6224066390041472,3.5899963378906534,2026,8,Aug,Wednesday,1.382139010504846
2026-08-27 00:00:00+05:30,244.3300018310547,244.6199951171875,240.0,241.0,4454374,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.6185567010309256,4.6199951171875,2026,8,Aug,Thursday,1.3855263503819917
2026-08-28 00:00:00+05:30,241.1499938964844,241.8999938964844,239.5,241.8999938964844,3571651,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,0.3734414508234085,2.3999938964844034,2026,8,Aug,Friday,1.3845173763849261
2026-08-31 00:00:00+05:30,241.1999969482422,241.2700042724609,236.3000030517578,238.6000061035156,9869595,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-1.3641950707865558,4.970001220703097,2026,8,Aug,Monday,1.2534874672715388
2026-09-01 00:00:00+05:30,238.0,240.1999969482422,236.67999267578125,237.6999969482422,13131444,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.37720416272032375,3.5200042724609375,2026,9,Sep,Tuesday,1.1547313280507552
2026-09-02 00:00:00+05:30,237.5,241.25,235.83999633789065,241.1999969482422,9638977,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,1.4724442763716539,5.410003662109347,2026,9,Sep,Wednesday,1.1837719432681317
2026-09-03 00:00:00+05:30,241.57000732421875,244.16000366210935,240.16000366210935,240.44000244140625,4789865,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.31508893716902797,4.0,2026,9,Sep,Thursday,1.1697655481323888
2026-09-04 00:00:00+05:30,242.3699951171875,242.3699951171875,239.0,239.0,7813445,BANKBARODA.NS,Bank of Baroda,Bank,NSE,INR,-0.598903022286057,3.3699951171875,2026,9,Sep,Friday,1.1439657708682776
2021-09-14 00:00:00+05:30,729.9220541014536,732.0275984882848,723.6521993929138,724.5646362304688,9758506,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.44999013830523404,8.375399095370994,2021,9,Sep,Tuesday,0.538269778181407
2021-09-15 00:00:00+05:30,718.2245000665279,727.4889171159565,718.2245000665279,723.7457275390625,14822998,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.11302079213617588,9.26441704942863,2021,9,Sep,Wednesday,0.48337863539190357
2021-09-16 00:00:00+05:30,719.5112312007644,731.9339646234694,718.8328009274061,729.8985595703125,10260550,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,0.8501372508507021,13.101163696063281,2021,9,Sep,Thursday,0.5938206510537379
2021-09-17 00:00:00+05:30,734.1331308228171,743.4911057217695,729.547700275712,740.2860107421875,20498102,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,1.4231362749900445,13.943405446057454,2021,9,Sep,Friday,0.7575591487598993
2021-09-20 00:00:00+05:30,731.7935977510607,740.0753822447209,728.9862054323227,729.851806640625,8781610,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-1.4094828147706684,11.08917681239825,2021,9,Sep,Monday,0.875557765857661
2021-09-21 00:00:00+05:30,730.8578619198661,733.9694000920663,715.3937850806404,726.1554565429688,14774996,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.506452140561231,18.57561501142584,2021,9,Sep,Tuesday,0.838660626201868
2021-09-22 00:00:00+05:30,724.7752071581899,725.3133021762269,715.885130375746,717.6163330078125,10582202,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-1.1759360145565445,9.428171800480868,2021,9,Sep,Wednesday,0.8609357064618164
2021-09-23 00:00:00+05:30,721.4998486172622,735.5368106526174,721.4998486172622,734.6010131835938,13664304,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,2.3668190639685838,14.036962035355259,2021,9,Sep,Thursday,1.1027815751781014
2021-09-24 00:00:00+05:30,738.812081199107,752.3577263390091,736.940486313232,749.3632202148438,20806702,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,2.0095544065851456,15.417240025777119,2021,9,Sep,Friday,1.1902534381788064
2021-09-27 00:00:00+05:30,755.9839427357285,765.248360283423,752.3811454208159,760.3822021484375,16415462,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,1.4704460582459111,12.86721486260717,2021,9,Sep,Monday,1.1943723153942314
2021-09-28 00:00:00+05:30,763.6107312729913,763.6107312729913,740.215794653108,755.6798706054688,12773790,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.6184168342818208,23.39493661988331,2021,9,Sep,Tuesday,1.1737102082356574
2021-09-29 00:00:00+05:30,747.2342683926307,751.7260847567792,741.6896798907969,745.7603759765625,16263036,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-1.3126583113770796,10.036404865982263,2021,9,Sep,Wednesday,1.1963809658810831
2021-09-30 00:00:00+05:30,742.0872931149418,751.6090196581471,740.7303755440723,746.2749633789062,15975348,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,0.06900170871506628,10.878644114074746,2021,9,Sep,Thursday,1.1584521198872275
2021-10-01 00:00:00+05:30,740.6836663870009,743.4910586790553,732.3784641896735,740.5432739257812,11128596,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.7680398960690948,11.112594489381763,2021,10,Oct,Friday,1.1429834572940514
2021-10-04 00:00:00+05:30,743.4910076345233,749.2695449489665,740.9643433218346,741.9703369140625,7051028,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,0.19270487472204945,8.305201627131964,2021,10,Oct,Monday,1.1111596281963918
2021-10-05 00:00:00+05:30,744.8946835659208,747.4681262541196,737.5252795042604,746.5089111328125,10257178,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,0.6116921382095297,9.9428467498592,2021,10,Oct,Tuesday,1.0882152207836036
2021-10-06 00:00:00+05:30,746.766442963065,761.201108711065,742.5553539989876,755.6097412109375,18600830,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,1.2191187462604614,18.645754712077405,2021,10,Oct,Wednesday,1.0884241395320118
2021-10-07 00:00:00+05:30,761.084061436561,761.5987386153337,751.9132577682348,753.5509033203125,11265724,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.27247370942115046,9.685480847098916,2021,10,Oct,Thursday,1.066060606449358
2021-10-08 00:00:00+05:30,754.2527101071383,758.9316971425425,748.7081218934927,749.8778686523438,7245562,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,-0.48743019904621265,10.223575249049759,2021,10,Oct,Friday,1.049572167363736
2021-10-11 00:00:00+05:30,748.5911042955163,769.693323191939,748.1699840631675,764.452880859375,13080848,HDFCBANK.NS,HDFC Bank,Bank,NSE,INR,1.9436514686351547,21.523339128771568,2021,10,Oct,Monday,1.0928421805507127
